Event                          Event Probability               Occurrences in minimal cut set
1                              0.01                            150                           
2                              0.0015                          150                           
3                              0.03                            150                           
4                              0.025                           150                           
5                              0.001                           150                           
6                              0.0011                          150                           
7                              0.0103                          150                           
8                              0.31                            600                           
9                              0.16                            600                           
10                             0.039                           48                            
11                             0.021                           48                            
12                             0.017                           48                            
13                             0.011                           48                            
14                             0.009                           48                            
15                             0.014                           48                            
16                             0.018                           48                            
17                             0.019                           48                            
18                             0.0096                          192                           
19                             0.0136                          48                            
20                             0.0075                          48                            
21                             0.031                           48                            
22                             0.014                           48                            
23                             0.008                           48                            
24                             0.07                            48                            
25                             0.017                           48                            
26                             0.053                           48                            
27                             0.034                           48                            
28                             0.064                           48                            
29                             0.016                           48                            
30                             0.0083                          48                            
31                             0.02                            48                            
32                             0.12541                         0                             
33                             0.011                           48                            
34                             0.0105                          48                            
35                             0.0057                          48                            
36                             0.01                            400                           
37                             0.048                           400                           
38                             0.0095                          400                           
39                             0.07                            150                           
40                             0.022838                        0                             
41                             0.105557                        0                             
43                             0.563475                        0                             
44                             0.664064                        0                             
45                             0.11486                         0                             
46                             0.105726                        0                             
47                             0.062488                        0                             
48                             0.181436                        0                             
49                             0.089525                        0                             
50                             0.111731                        0                             
51                             0.374184                        0                             
52                             0.225899                        0                             
53                             0.373436                        0                             
54                             0.411076                        0                             
55                             0.511635                        0                             
56                             0.372218                        0                             
57                             0.001204                        0                             
58                             0.180458                        0                             
59                             0.084528                        0                             
60                             0.999999                        0                             
61                             0.084528                        0                             
